,Static,Read,Write,Copies
CombRename,NaN,0,NaN,0
Reg#CommitSB,0,0,0,0
Reg#SpecSB,0,0,0,0
Reg#Map,0,0,0,0
Reg#RT,0,0,0,0
Reg#SpecRT,0,0,0,0
SRAM#Map,0,0,0,0
SRAM#SB,0,0,0,0
SRAM#RT,0,0,0,0
Reg#ARF,0.746252,0.000961045,0.00173569,1
Reg#SpecARF,1.26922,0.00140326,0.00250439,1
Reg#CenterInstBuf,0,0,0,1
Reg#CenterPairBuf,0,0,0,1
Reg#CenterWKBuf,0,0,0,1
Reg#InterGroupWKBuf,0,0,0,0
Queue#TxBuf,0,0,0,4
Queue#PairBuf,0,0,0,4
CombWKNet,NaN,0,NaN,1
CombFWNet,NaN,0,NaN,1
CombSelNet,NaN,0,NaN,1
SRAM#Inst,0.136664,0.000267303,0.000423662,8
SRAM#Pointer,0.0461288,6.01E-05,0.000102332,32
SRAM#Value,0.247024,0.000453903,0.000707989,32
Reg#Valid,0,0,0,4
Reg#Nbusy,0.102444,0.000134487,0.000254228,8
Reg#RxBuf,0,0,0,4
Queue#ReadyInstBuf,0,0,0,4
